ATCA Name
0011-191
0024+092
0031-196
0109+224
J0122-0421
0159+034
0159-117
J0206-1150
0205-010
0215+015
0235+164
0236-314
0239+108
0240-002
0242+238
0301-243
J0308+0406
J0313+0228
0336-019
0346-279
0347-121
0414+009
0426-380
0433+295
0447-439
0502+049
0506+056
0518+165
0518+211
0548-322
0624-058
0625-354
J0648+1516
0731+050
0735+178
0736+017
0740+173
0747+185
J0812+0237
J0847+1133
0851+202
0903-573
0910-208
J1010-3119
1023+131
1101-232
1128-047
3C264
1145-071
J1152-0841
J1153-1105
1156+295
J1159-0723
1200-051
1215+303
1219+285
1218+304
1222+216
1227+255
1253-055
1312-423
1322-427
1328+307
1413+135
1423+146
1424+240
1441+252
1440-389
1502+106
1510-089
1514-241
1515-273
1553+113
J1725+1152
1725+123
1732+094
1734+063
1741+196
1741-038
1745+085
1749+096
1749-101
J1809+2041
J1819+2132
1923+210
J1952+0230
J1958-3011
2005-489
2047+181
2106+143
2128-123
2155-304
2210-257
2210+065
2210-257
2223-052
2322-409
2356-309
