IC Name,GCN_nr,Date,Time (UTC),RA,Ra_err_plus,Ra_err_minus,Dec,Dec_err_plus,Dec_err_minus,GCN_link
210503A,29951,2021-05-03,22:19:32.96,143.53,7.71,-5.16,41.81,5.02,-5.68,GCN link
210210A,29454,2021-02-10,11:53:55.65,206.06,1.4,-0.95,4.78,0.62,-0.56,GCN link
201222A,29120,2020-12-22,00:56:16.14,206.37,0.9,-0.8,13.44,0.55,-0.38,GCN link
201221A,29102,2020-12-21,12:36:53.45,261.69,2.29,-2.5,41.81,1.29,-1.2,GCN link
201209A,29012,2020-12-09,10:15:43.94,6.86,1.02,-1.22,-9.25,0.99,-1.14,GCN link
201130A,28969,2020-11-30,20:21:46.48,30.54,1.13,-1.31,-12.1,1.15,-1.13,GCN link
201120A,28927,2020-11-20,09:44:40.56,307.53,5.34,-5.59,40.77,4.97,-2.8,GCN link
201115A,28889,2020-11-15,02:07:26.21,195.12,1.27,-1.49,1.38,1.3,-1.11,GCN link
201114A,28887,2020-11-14,15:05:31.96,105.25,1.28,-1.12,6.05,0.95,-0.95,GCN link
201021A,28715,2020-10-21,06:37:47.48,260.82,1.73,-1.68,14.55,1.35,-0.74,GCN link
201014A,28616,2020-10-14,02:13:27.53,221.22,1.0,-0.75,14.44,0.67,-0.46,GCN link
201007A,28575,2020-10-07,22:01:49.28,265.17,0.52,-0.52,5.34,0.32,-0.23,GCN link
200929A,28532,2020-09-29,17:48:36.84,29.53,0.53,-0.53,3.47,0.71,-0.35,GCN link
200926B,28509,2020-09-26,22:35:29.22,184.75,3.64,-1.55,32.93,1.15,-0.91,GCN link
200926A,28504,2020-09-26,07:54:11.62,96.46,0.73,-0.55,-4.33,0.61,-0.76,GCN link
200921A,28468,2020-09-21,19:07:12.89,195.29,2.35,-1.73,26.24,1.51,-1.77,GCN link
200916A,28433,2020-09-16,20:40:30.95,109.78,1.08,-1.44,14.36,0.88,-0.85,GCN link
200911A,28411,2020-09-11,14:19:46.23,51.11,4.42,-11.01,38.11,2.35,-1.99,GCN link
200806A,28210,2020-08-06,13:50:56.43,157.25,1.21,-0.89,47.75,0.65,-0.64,GCN link
200620A,27997,2020-06-20,03:03:32.28,162.11,0.64,-0.95,11.95,0.63,-0.48,GCN link
200615A,27950,2020-06-15,14:49:17.38,142.95,1.18,-1.45,3.66,1.19,-1.06,GCN link
200614A,27941,2020-06-14,12:41:21.41,33.84,4.77,-6.39,31.61,2.75,-2.28,GCN link
200530A,27865,2020-05-30,07:54:29.43,255.37,2.48,-2.56,26.61,2.33,-3.28,GCN link
200523A,27787,2020-05-23,02:30:07.59,338.64,10.77,-6.07,1.75,1.84,-3.54,GCN link
200512A,27719,2020-05-12,07:31:27.76,295.18,1.72,-2.26,15.79,1.26,-1.29,GCN link
200425A,27651,2020-04-25,23:26:46.35,100.1,4.67,-3.14,53.57,2.45,-1.6,GCN link
200421A,27612,2020-04-21,00:35:24.24,87.93,3.44,-2.83,8.23,2.09,-1.84,GCN link
200410A,27534,2020-04-10,23:19:55.49,242.58,14.05,-13.35,11.61,7.87,-6.21,GCN link
200227A,27235,2020-02-27,05:36:31.50,348.26,0.51,-0.51,21.32,0.51,-0.51,GCN link
200120A,26832,2020-01-20,18:48:18.56,67.46,0.36,-0.43,-14.63,0.32,-0.25,GCN link
200117A,26802,2020-01-17,11:08:29.69,116.24,0.71,-1.24,29.14,0.9,-0.78,GCN link
200109A,26696,2020-01-09,23:41:39.94,164.49,4.94,-4.19,11.87,1.16,-1.36,GCN link
200107A,26655,2020-01-07,09:42:18.36,148.18,2.2,-1.83,35.46,1.1,-1.22,GCN link
191231A,26620,2019-12-31,11:00:06.08,46.36,4.27,-3.47,20.42,2.11,-2.8,GCN link
191215A,26435,2019-12-15,11:09:57.63,285.87,2.88,-3.19,58.92,1.85,-2.25,GCN link
191204A,26341,2019-12-04,22:46:11.32,79.72,3.2,-1.74,2.8,1.12,-1.23,GCN link
191122A,26276,2019-11-22,22:45:10.50,27.25,1.7,-2.9,-0.04,1.17,-1.49,GCN link
191119A,26258,2019-11-19,01:01:29.38,230.1,4.76,-6.48,3.17,3.36,-2.09,GCN link
191001A,25913,2019-10-01,20:09:18.17,314.08,6.56,-2.26,12.94,1.5,-1.47,GCN link
190922B,25806,2019-09-22,23:03:55.56,5.76,1.19,-1.37,-1.57,0.93,-0.82,GCN link
190922A,25802,2019-09-22,09:42:45.62,167.43,3.4,-2.63,-22.39,2.88,-2.89,GCN link
190819A,25402,2019-08-19,17:34:24.24,148.8,2.07,-3.24,1.38,1.0,-0.75,GCN link
190730A,25225,2019-07-30,20:50:41.31,225.79,1.28,-1.43,10.47,1.14,-0.89,GCN link
190712A,25057,2019-07-12,01:15:17.38,76.46,5.09,-6.83,13.06,4.48,-3.44,GCN link
190704A,24981,2019-07-04,18:48:52.25,161.85,2.16,-4.33,27.11,1.81,-1.83,GCN link
190629A,24910,2019-06-29,19:24:15.12,27.22,180.0,-180.0,84.33,4.95,-3.13,GCN link
190619A,24854,2019-06-19,13:14:18.04,343.26,4.08,-2.63,10.73,1.51,-2.61,GCN link
190504A,24392,2019-05-04,18:25:18.39,65.7866,1.23,-1.23,-37.4431,1.23,-1.23,GCN link
190503A,24378,2019-05-03,17:23:08.72,120.28,0.57,-0.77,7.5509,0.76,-0.7,GCN link
190331A,24028,2019-03-31,06:55:43.44,337.68,0.23,-0.34,-20.7,0.3,-0.48,GCN link
