,RunNum_EventNum,Rev,Date,Time UT,NoticeType,RA [deg],Dec [deg],Error90 [arcmin],Error50 [arcmin],Energy,Signalness,FAR [#/yr],Comments
88,136055_348073,1,21/12/16,07:07:38.13,BRONZE,316.05,15.7899,111.6,68.39,113.01,0.34356,2.3692,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
90,136015_21306805,1,21/12/08,20:02:51.09,BRONZE,114.5199,15.56,127.79,76.8,171.08,0.50234,1.1965,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
92,135936_74588253,1,21/11/25,06:22:21.55,BRONZE,43.59,22.5899,148.79,87.59,117.49,0.38994,1.9729,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
94,135930_15193553,1,21/11/23,14:25:22.60,BRONZE,265.5199,7.33,162.59,90.6,142.07,0.3558,2.5668,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
96,135908_43512334,0,21/11/17,03:50:57.18,GOLD,225.9338,-0.2016,30.8,12.0,195.03,0.5259,1.1655,"IceCube Gold event. The position error is statistical only, there is no systematic added."
97,135906_30719293,1,21/11/16,10:33:16.05,BRONZE,42.45,0.1499,71.99,44.39,161.32,0.40161,1.9404,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
99,135832_55176071,1,21/10/23,08:31:18.31,BRONZE,253.3,-1.7199,66.0,39.0,120.64,0.32606,3.2048,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
101,135736_30987826,1,21/09/22,18:17:20.94,GOLD,60.7299,-4.1799,39.0,22.8,750.76,0.92534,0.1472,"IceCube Gold event. The position error is statistical only, there is no systematic added."
103,135591_36044887,1,21/08/11,02:02:44.03,GOLD,270.79,25.28,56.16,32.22,217.67,0.65826,0.6939,"IceCube Gold event. The position error is statistical only, there is no systematic added."
105,135553_7213992,1,21/07/30,22:12:40.62,BRONZE,105.73,14.7899,84.59,43.79,109.42,0.3193,2.5421,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
107,135440_3139778,1,21/06/29,18:09:44.22,BRONZE,340.75,12.9399,78.0,46.2,120.95,0.35083,2.0845,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
109,135363_69917294,1,21/06/08,03:41:00.97,BRONZE,337.41,18.37,352.79,161.39,105.17,0.3147,3.0747,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
111,135302_36915486,0,21/05/19,20:40:02.93,BRONZE,167.6902,-25.8725,129.06,36.18,320.04,0.33167,0.9669,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
112,135292_56063172,1,21/05/16,14:38:20.33,BRONZE,91.76,9.5199,46.8,25.79,109.12,0.2886,3.0988,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
114,135270_69188496,0,21/05/10,04:50:10.73,BRONZE,267.9106,4.0004,30.8,12.0,113.03,0.28151,3.9437,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
115,135113_19489408,0,21/03/22,02:34:09.17,BRONZE,85.5066,-44.7217,39.13,14.09,54.853,0.45899,1.3823,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
116,134994_1103075,0,21/02/13,18:40:24.51,GOLD,155.2582,-35.3994,71.4,22.94,1450.4,0.6073,0.4362,"IceCube Gold event. The position error is statistical only, there is no systematic added."
117,134979_17138286,1,21/02/10,11:53:55.64,GOLD,206.06,4.78,52.8,31.8,287.41,0.65464,0.4645,"IceCube Gold event. The position error is statistical only, there is no systematic added."
119,134818_73718836,1,20/12/22,00:56:16.14,GOLD,206.37,13.4399,39.6,22.19,185.78,0.5337,1.0081,"IceCube Gold event. The position error is statistical only, there is no systematic added."
121,134817_29175858,1,20/12/21,12:36:53.45,GOLD,261.6899,41.81,109.2,61.2,174.54,0.56429,0.1472,"IceCube Gold event. The position error is statistical only, there is no systematic added."
123,134777_8912764,1,20/12/09,10:15:43.94,GOLD,6.86,-9.25,65.4,38.4,418.6,0.19226,0.7698,"IceCube Gold event. The position error is statistical only, there is no systematic added."
125,134751_31476488,1,20/11/30,20:21:46.47,GOLD,30.5399,-12.0999,70.79,41.39,203.47,0.14696,1.3222,"IceCube Gold event. The position error is statistical only, there is no systematic added."
127,134715_65785778,1,20/11/20,09:44:40.55,BRONZE,307.5299,40.77,280.79,158.4,153.96,0.50338,0.2947,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
129,134701_49508272,0,20/11/15,16:01:42.96,GOLD,148.7519,-21.6418,51.89,20.21,26182.0,0.49261,0.0681,"IceCube Gold event. The position error is statistical only, there is no systematic added."
130,134699_70289682,1,20/11/15,02:07:26.21,GOLD,195.12,1.3799,77.4,42.59,177.38,0.45973,1.5226,"IceCube Gold event. The position error is statistical only, there is no systematic added."
132,134698_40735501,1,20/11/14,15:05:31.96,GOLD,105.25,6.0499,64.8,34.19,214.29,0.56208,0.9232,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134,134621_31008065,2,20/10/21,06:37:47.48,BRONZE,260.8199,14.55,82.79,49.19,105.27,0.29662,2.9868,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
137,134599_66310113,1,20/10/14,02:13:27.53,BRONZE,221.2199,14.4399,50.39,31.2,146.93,0.41371,1.7069,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
139,134577_31638233,1,20/10/07,22:01:49.28,GOLD,265.17,5.3399,24.0,13.8,682.65,0.88552,0.2624,"IceCube Gold event. The position error is statistical only, there is no systematic added."
141,134552_68615710,1,20/09/29,17:48:36.83,GOLD,29.5199,3.47,31.8,24.0,182.89,0.47479,1.4109,"IceCube Gold event. The position error is statistical only, there is no systematic added."
143,134535_41069485,1,20/09/26,22:35:29.22,BRONZE,184.75,32.9299,108.6,66.6,121.42,0.43381,1.29,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
145,134533_53384881,1,20/09/26,07:54:11.62,GOLD,96.4599,-4.33,39.6,23.4,670.5,0.44137,0.5363,"IceCube Gold event. The position error is statistical only, there is no systematic added."
147,134512_71996695,1,20/09/21,19:07:12.89,BRONZE,195.2899,26.2399,170.39,64.2,117.17,0.40945,1.5853,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
149,134498_12605830,1,20/09/16,20:40:30.95,BRONZE,109.78,14.3599,63.6,34.79,110.48,0.32226,2.4826,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
