,RunNum_EventNum,Rev,Date,Time UT,NoticeType,RA [deg],Dec [deg],Error90 [arcmin],Error50 [arcmin],Energy,Signalness,FAR [#/yr],Comments
280,134715_65785778,1,20/11/20,09:44:40.55,BRONZE,307.5299,40.77,280.79,158.4,153.96,0.50338,0.2947,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
282,134701_49508272,0,20/11/15,16:01:42.96,GOLD,148.7519,-21.6418,51.89,20.21,26182.0,0.49261,0.0681,"IceCube Gold event. The position error is statistical only, there is no systematic added."
283,134699_70289682,1,20/11/15,02:07:26.21,GOLD,195.12,1.3799,77.4,42.59,177.38,0.45973,1.5226,"IceCube Gold event. The position error is statistical only, there is no systematic added."
285,134698_40735501,1,20/11/14,15:05:31.96,GOLD,105.25,6.0499,64.8,34.19,214.29,0.56208,0.9232,"IceCube Gold event. The position error is statistical only, there is no systematic added."
287,134621_31008065,2,20/10/21,06:37:47.48,BRONZE,260.8199,14.55,82.79,49.19,105.27,0.29662,2.9868,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
290,134599_66310113,1,20/10/14,02:13:27.53,BRONZE,221.2199,14.4399,50.39,31.2,146.93,0.41371,1.7069,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
292,134577_31638233,1,20/10/07,22:01:49.28,GOLD,265.17,5.3399,24.0,13.8,682.65,0.88552,0.2624,"IceCube Gold event. The position error is statistical only, there is no systematic added."
294,134552_68615710,1,20/09/29,17:48:36.83,GOLD,29.5199,3.47,31.8,24.0,182.89,0.47479,1.4109,"IceCube Gold event. The position error is statistical only, there is no systematic added."
296,134535_41069485,1,20/09/26,22:35:29.22,BRONZE,184.75,32.9299,108.6,66.6,121.42,0.43381,1.29,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
298,134533_53384881,1,20/09/26,07:54:11.62,GOLD,96.4599,-4.33,39.6,23.4,670.5,0.44137,0.5363,"IceCube Gold event. The position error is statistical only, there is no systematic added."
300,134512_71996695,1,20/09/21,19:07:12.89,BRONZE,195.2899,26.2399,170.39,64.2,117.17,0.40945,1.5853,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
302,134498_12605830,1,20/09/16,20:40:30.95,BRONZE,109.78,14.3599,63.6,34.79,110.48,0.32226,2.4826,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
304,134482_27754576,1,20/09/11,14:19:46.23,BRONZE,51.1099,38.1099,296.4,93.6,110.79,0.40813,0.9681,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
306,134354_59221243,1,20/08/06,13:50:56.43,BRONZE,157.25,47.75,50.99,28.79,107.35,0.39728,0.7921,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
308,134327_10548129,0,20/07/28,08:17:51.99,GOLD,117.5554,-24.8475,30.8,12.0,42024.0,0.3931,0.1472,"IceCube Gold event. The position error is statistical only, there is no systematic added."
309,134207_33533447,1,20/06/20,03:03:32.28,BRONZE,162.11,11.9499,40.8,20.99,113.5,0.32464,2.3206,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
311,134191_17593623,1,20/06/15,14:49:17.37,GOLD,142.9499,3.66,73.19,43.19,496.36,0.82832,0.2894,"IceCube Gold event. The position error is statistical only, there is no systematic added."
313,134187_72386329,1,20/06/14,12:41:21.41,BRONZE,33.84,31.6099,242.4,141.0,115.05,0.41553,1.4846,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
315,134139_35473338,1,20/05/30,07:54:29.43,GOLD,255.37,26.6099,160.19,65.4,82.186,0.5917,1.9521,"IceCube Gold event. The position error is statistical only, there is no systematic added."
317,134116_58596690,1,20/05/23,02:30:07.59,BRONZE,338.6399,1.75,333.59,218.4,105.08,0.24998,4.9079,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
319,134081_58268464,1,20/05/12,07:31:27.75,BRONZE,295.18,15.7899,97.79,54.0,108.77,0.32159,2.6128,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
321,134013_16038252,1,20/04/25,23:26:46.34,BRONZE,100.0999,53.57,178.2,90.6,134.87,0.48106,0.5218,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
323,133985_60770138,1,20/04/21,00:35:24.24,BRONZE,87.93,8.23,152.99,89.39,126.97,0.33312,2.7906,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
325,133945_24635982,1,20/04/10,23:19:55.48,BRONZE,242.58,11.6099,622.19,390.59,110.0,0.30535,2.5451,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
327,133781_21701751,0,20/02/27,05:36:31.49,BRONZE,348.2598,21.3235,30.8,12.0,109.5,0.35075,2.3437,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
328,133644_43767651,1,20/01/20,18:48:18.55,BRONZE,67.4599,-14.63,20.4,13.2,6070.2,0.32893,0.3565,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
330,133634_1410505,1,20/01/17,11:08:29.69,BRONZE,116.2399,29.1299,54.6,30.6,108.39,0.3754,1.9258,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
332,133609_37927131,1,20/01/09,23:41:39.93,GOLD,164.49,11.8699,174.6,96.6,375.23,0.76931,0.6409,"IceCube Gold event. The position error is statistical only, there is no systematic added."
