,RunNum_EventNum,Rev,Date,Time UT,NoticeType,RA [deg],Dec [deg],Error90 [arcmin],Error50 [arcmin],Energy,Signalness,FAR [#/yr],Comments
121,138632_31747601,1,23/12/02,17:08:24.09,BRONZE,139.0399,0.3699,89.85,53.4,108.22,0.27139,4.4035,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
123,138599_39138591,1,23/11/25,22:34:56.64,GOLD,177.53,53.6199,168.45,93.0,191.73,0.63125,0.1472,"IceCube Gold event. The position error is statistical only, there is no systematic added."
125,138515_8773328,1,23/11/03,09:17:35.29,GOLD,105.67,47.85,147.59,86.99,180.34,0.59238,0.1472,"IceCube Gold event. The position error is statistical only, there is no systematic added."
127,138487_60138479,2,23/10/27,04:16:10.44,GOLD,267.16,46.96,178.2,102.59,191.51,0.62474,0.1472,"IceCube Gold event. The position error is statistical only, there is no systematic added."
129,138449_20481611,1,23/10/14,22:00:06.26,BRONZE,297.16,1.34,141.0,77.09,105.32,0.25416,4.8518,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
131,138415_56188508,1,23/10/04,14:39:41.18,GOLD,143.7899,25.0399,65.4,35.99,442.18,0.84178,0.449,"IceCube Gold event. The position error is statistical only, there is no systematic added."
133,138354_45413430,2,23/09/14,05:21:03.71,BRONZE,163.83,31.8299,128.4,71.99,167.76,0.54363,0.8823,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
135,138283_14780365,1,23/08/23,08:26:14.59,GOLD,17.9299,-12.0999,17.99,10.2,3412.7,0.32938,0.5131,"IceCube Gold event. The position error is statistical only, there is no systematic added."
137,138198_44334860,1,23/07/27,16:05:39.63,BRONZE,33.6599,7.6299,49.19,27.0,113.32,0.29444,3.3838,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
139,138193_21103478,1,23/07/25,21:30:51.06,BRONZE,327.04,12.33,112.2,63.6,145.04,0.39382,1.6765,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
140,138181_66037171,1,23/07/24,01:49:13.38,GOLD,32.52,-1.87,23.4,12.0,191.43,0.5265,1.1738,"IceCube Gold event. The position error is statistical only, there is no systematic added."
141,138193_21103478,0,23/07/25,21:30:51.06,BRONZE,325.3444,11.8857,48.64,18.95,145.04,0.39382,1.6765,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
142,138181_66037171,0,23/07/24,01:49:13.38,GOLD,32.8295,-2.3369,40.28,15.69,191.43,0.5265,1.1738,"IceCube Gold event. The position error is statistical only, there is no systematic added."
143,138131_35302784,1,23/07/08,08:17:05.21,GOLD,270.6999,8.46,201.0,115.19,208.45,0.55963,0.9371,"IceCube Gold event. The position error is statistical only, there is no systematic added."
145,138125_29513102,1,23/07/07,18:56:51.43,BRONZE,127.18,20.7399,609.6,359.4,154.28,0.46634,1.3583,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
147,138125_11333473,1,23/07/07,16:58:50.03,GOLD,269.0299,-1.9399,40.8,24.0,279.45,0.66328,0.4443,"IceCube Gold event. The position error is statistical only, there is no systematic added."
149,138005_24780443,1,23/06/03,05:00:47.13,BRONZE,68.2,24.21,155.39,92.4,145.21,0.45572,1.2419,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
151,137971_11526243,1,23/05/24,11:09:36.24,BRONZE,318.43,2.8399,160.19,89.39,109.4,0.26669,4.2501,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
153,137932_1791376,1,23/05/11,18:03:50.10,BRONZE,17.05,37.0799,207.59,121.79,167.46,0.54588,0.4941,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
155,137910_29871391,1,23/05/06,15:53:45.93,GOLD,50.1899,21.0599,187.2,108.6,211.25,0.64254,0.7577,"IceCube Gold event. The position error is statistical only, there is no systematic added."
157,137840_57034692,1,23/04/16,05:22:26.15,BRONZE,345.85,9.14,52.64,29.24,127.29,0.34064,2.5322,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
159,137806_8756840,1,23/04/05,13:20:20.04,BRONZE,120.8499,9.75,178.2,102.3,110.43,0.29923,2.8353,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
161,137794_38132005,1,23/04/01,16:14:18.90,BRONZE,8.1699,1.9399,173.4,98.39,110.79,0.27409,4.1124,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
163,137711_79205800,1,23/03/06,10:59:30.41,GOLD,72.8599,34.2299,52.19,29.39,174.62,0.56416,0.7101,"IceCube Gold event. The position error is statistical only, there is no systematic added."
165,137668_51133257,0,23/02/20,07:39:10.83,BRONZE,359.3311,3.3491,30.8,12.0,151.77,0.364,2.5206,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
166,137661_22129736,1,23/02/17,20:49:43.37,BRONZE,124.54,20.7399,143.4,85.19,54.853,0.45373,1.8772,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
168,137603_30799022,1,23/02/01,06:20:54.42,BRONZE,345.41,12.0999,130.8,73.79,120.98,0.3477,2.0701,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
170,137571_16496893,1,23/01/22,03:50:02.00,BRONZE,16.7899,7.78,186.59,105.0,107.65,0.27309,3.6241,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
172,137537_52990531,1,23/01/12,06:44:50.60,BRONZE,24.35,0.9,75.6,35.99,111.22,0.28432,4.0476,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
174,137487_35344578,1,22/12/29,07:25:27.88,GOLD,31.8999,4.1799,82.2,46.2,205.31,0.54438,1.0141,"IceCube Gold event. The position error is statistical only, there is no systematic added."
176,137469_77414913,1,22/12/24,00:55:09.29,BRONZE,335.74,1.4199,32.81,17.6,110.61,0.27823,4.1153,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
178,137467_64735045,0,22/12/23,07:43:00.52,GOLD,350.5486,34.711,39.58,15.41,352.7,0.79488,0.2464,"IceCube Gold event. The position error is statistical only, there is no systematic added."
179,137390_43495485,1,22/12/16,06:00:14.01,BRONZE,6.86,10.4299,86.39,52.19,155.63,0.41457,1.5922,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
181,137350_7930341,1,22/12/10,08:35:11.23,BRONZE,332.5799,22.75,508.2,323.39,164.66,0.50781,0.9539,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
183,137296_24212476,1,22/11/24,15:46:02.26,BRONZE,298.93,3.7299,117.59,68.99,143.65,0.34978,2.7945,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
185,137217_75180896,1,22/11/04,06:10:08.18,BRONZE,209.62,15.0899,48.6,28.79,108.59,0.31652,2.6315,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
187,137096_70551815,1,22/09/28,12:32:38.30,BRONZE,207.4199,10.4299,88.19,53.4,143.15,0.37775,1.9911,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
189,137065_22012496,1,22/09/18,12:46:05.32,BRONZE,75.15,3.58,214.19,124.8,168.34,0.41802,1.7147,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
191,137019_70165712,1,22/09/07,06:46:47.51,BRONZE,224.81,44.7,90.6,58.19,127.76,0.46015,0.4645,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
193,136973_28816141,1,22/08/22,20:26:30.03,BRONZE,273.0799,21.5399,106.2,61.8,114.92,0.38344,2.0054,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
195,136918_45252263,0,22/08/08,07:59:57.26,BRONZE,132.3328,-42.7168,39.13,14.09,54.853,0.38646,1.8772,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
196,136783_66879340,1,22/06/29,23:51:31.69,BRONZE,163.9199,4.33,34.79,17.99,118.63,0.30109,3.6375,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
198,136775_22443736,1,22/06/27,17:51:54.27,BRONZE,165.59,5.2999,172.79,109.2,126.12,0.31383,3.4538,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
200,136766_7637140,1,22/06/24,16:13:16.40,GOLD,224.12,41.31,109.8,62.4,192.97,0.6087,0.1732,"IceCube Gold event. The position error is statistical only, there is no systematic added."
202,136662_35405932,1,22/05/24,07:41:32.18,BRONZE,47.2,-3.2799,126.0,76.8,116.04,0.33628,2.8556,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
204,136627_61640402,1,22/05/13,23:23:12.60,GOLD,224.03,-1.34,62.4,38.4,207.92,0.56014,0.9425,"IceCube Gold event. The position error is statistical only, there is no systematic added."
206,136615_14688828,1,22/05/09,18:19:04.11,GOLD,334.25,5.3799,100.79,57.59,176.81,0.44648,1.5343,"IceCube Gold event. The position error is statistical only, there is no systematic added."
208,136588_56014830,1,22/05/01,22:50:58.63,BRONZE,311.5699,18.6799,58.19,32.4,127.03,0.39646,2.1096,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
210,136568_17854328,1,22/04/25,02:44:57.81,GOLD,268.24,-10.73,102.59,58.19,603.95,0.16877,0.5757,"IceCube Gold event. The position error is statistical only, there is no systematic added."
212,136565_2186969,1,22/04/24,01:06:24.06,GOLD,346.11,8.91,68.39,37.8,183.99,0.49659,1.2053,"IceCube Gold event. The position error is statistical only, there is no systematic added."
214,136556_43687362,1,22/04/21,05:20:18.25,BRONZE,113.64,5.83,147.59,81.6,155.06,0.37463,2.2809,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
216,136506_15341152,1,22/04/05,22:20:03.41,BRONZE,320.62,29.0599,61.8,35.39,106.32,0.36433,2.016,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
218,136504_1833389,1,22/04/05,04:57:26.11,BRONZE,134.4699,-1.27,88.79,50.39,121.81,0.32315,3.2832,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
220,136441_11435033,1,22/03/17,02:32:17.68,BRONZE,155.74,11.1899,95.4,54.6,132.62,0.36467,1.8993,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
222,136392_25495567,1,22/03/06,03:46:37.06,GOLD,314.8199,8.6099,31.2,18.59,413.05,0.77357,0.4539,"IceCube Gold event. The position error is statistical only, there is no systematic added."
224,136388_4701751,1,22/03/04,17:44:12.21,GOLD,48.78,4.48,372.0,226.79,263.21,0.6311,0.578,"IceCube Gold event. The position error is statistical only, there is no systematic added."
226,136385_7450363,1,22/03/03,18:00:07.62,GOLD,267.8,11.4199,70.79,41.99,398.11,0.76419,0.5408,"IceCube Gold event. The position error is statistical only, there is no systematic added."
228,136366_14203460,1,22/02/25,14:12:00.68,BRONZE,34.7199,0.0,135.29,75.74,153.57,0.37766,2.3292,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
