Source,Date,MJD,Fit Coeff.,Log Fit,Defect,Frequency [GHz],Flux Density [Jy],Flux Density Error [Jy],Spectral Index,Closure Phase
1424-418,2016-Jan-27,57414.0,"5.906E-01,4.506E-02,9.840E-02",Y,0%,5.5,4.763,0.026,0.191,0.2° ± 0.3°
1424-418,2016-Jan-27,57414.0,"5.906E-01,4.506E-02,9.840E-02",Y,0%,9.0,5.287,0.026,0.233,0.2° ± 0.3°
1424-418,2015-Oct-03,57298.0,"7.579E-01,-2.384E-01,1.159E-01",Y,0%,5.5,4.415,0.013,-0.067,0.2° ± 0.2°
1424-418,2015-Oct-03,57298.0,"7.579E-01,-2.384E-01,1.159E-01",Y,0%,9.0,4.325,0.013,-0.017,0.2° ± 0.3°
1424-418,2014-Apr-22,56769.0,"4.455E-01,9.258E-01,-4.545E-01",Y,0%,5.5,7.617,0.019,0.253,0.2° ± 0.3°
1424-418,2014-Apr-22,56769.0,"4.455E-01,9.258E-01,-4.545E-01",Y,0%,9.0,8.224,0.019,0.058,0.3° ± 0.4°
1424-418,2014-Apr-07,56754.0,"5.811E-01,6.146E-01,-2.715E-01",Y,0%,5.5,7.714,0.017,0.213,0° ± 0.2°
1424-418,2014-Apr-07,56754.0,"5.811E-01,6.146E-01,-2.715E-01",Y,0%,9.0,8.324,0.017,0.096,-0.1° ± 0.1°
1424-418,2014-Mar-25,56741.0,"5.245E-01,7.405E-01,-3.725E-01",Y,0%,5.5,7.389,0.018,0.189,0° ± 0.1°
1424-418,2014-Mar-25,56741.0,"5.245E-01,7.405E-01,-3.725E-01",Y,0%,9.0,7.797,0.018,0.03,0.1° ± 0.1°
1424-418,2013-Dec-10,56636.0,"5.743E-01,3.253E-01,-4.388E-02",Y,0%,9.0,6.995,0.014,0.242,0.3° ± 0.5°
1424-418,2013-Dec-10,56636.0,"5.743E-01,3.253E-01,-4.388E-02",Y,0%,5.5,6.181,0.014,0.26,0.2° ± 0.4°
1424-418,2013-Sep-11,56546.0,"5.657E-01,3.647E-01,3.670E-04",Y,0%,9.0,8.204,0.029,0.365,0.1° ± 0.1°
1424-418,2013-Sep-11,56546.0,"5.657E-01,3.647E-01,3.670E-04",Y,0%,5.5,6.853,0.029,0.365,0.1° ± 0.2°
1424-418,2013-Aug-20,56524.0,"6.043E-01,3.157E-01",Y,0%,5.5,6.887,0.045,0.316,0.1° ± 0.1°
1424-418,2013-Aug-20,56524.0,"6.043E-01,3.157E-01",Y,0%,9.0,8.046,0.045,0.316,0° ± 0.1°
1424-418,2013-May-10,56422.0,"3.404E-01,5.810E-01",Y,0%,5.5,5.896,0.137,0.581,0.5° ± 0.7°
1424-418,2013-May-10,56422.0,"3.404E-01,5.810E-01",Y,0%,9.0,7.849,0.137,0.581,0.7° ± 0.9°
1424-418,2013-Apr-16,56398.0,"2.831E-01,7.088E-01",Y,0%,5.5,6.425,0.259,0.709,0° ± 0.2°
1424-418,2013-Apr-16,56398.0,"2.831E-01,7.088E-01",Y,0%,9.0,9.109,0.259,0.709,0.1° ± 0.6°
1424-418,2012-Nov-03,56234.0,"2.472E-01,4.472E-01,3.189E-02",Y,0.3%,5.5,3.942,0.015,0.494,0° ± 0.1°
1424-418,2012-Nov-03,56234.0,"2.472E-01,4.472E-01,3.189E-02",Y,0.3%,9.0,5.046,0.015,0.508,0° ± 0.2°
1424-418,2012-Aug-26,56165.0,"2.937E-01,3.110E-01,1.205E-01",Y,0%,5.5,3.89,0.034,0.489,1.3° ± 1.7°
1424-418,2012-Aug-26,56165.0,"2.937E-01,3.110E-01,1.205E-01",Y,0%,9.0,5.014,0.034,0.541,1.6° ± 1.9°
1424-418,2012-Jul-20,56128.0,"3.538E-01,7.770E-02,2.350E-01",Y,0.1%,5.5,3.468,0.018,0.426,0.3° ± 0.4°
1424-418,2012-Jul-20,56128.0,"3.538E-01,7.770E-02,2.350E-01",Y,0.1%,9.0,4.385,0.018,0.526,0.1° ± 0.3°
1424-418,2012-Apr-22,56039.0,"5.913E-01,-5.277E-01,5.088E-01",Y,0.1%,5.5,3.016,0.013,0.226,0.3° ± 0.5°
1424-418,2012-Apr-22,56039.0,"5.913E-01,-5.277E-01,5.088E-01",Y,0.1%,9.0,3.557,0.013,0.443,0.3° ± 0.4°
1424-418,2012-Mar-17,56003.0,"2.333E-01,1.536E-01,1.628E-01",Y,0%,5.5,2.731,0.013,0.395,-0.2° ± 0.7°
1424-418,2012-Mar-17,56003.0,"2.333E-01,1.536E-01,1.628E-01",Y,0%,9.0,3.374,0.013,0.464,0.1° ± 0.3°
1424-418,2012-Feb-13,55970.0,"3.421E-01,2.398E-02,2.229E-01",Y,0.1%,5.5,3.034,0.034,0.354,0.7° ± 0.8°
1424-418,2012-Feb-13,55970.0,"3.421E-01,2.398E-02,2.229E-01",Y,0.1%,9.0,3.698,0.034,0.449,0.8° ± 0.9°
1424-418,2012-Jan-15,55941.0,"2.933E-01,-8.041E-03,2.466E-01",Y,0%,5.5,2.646,0.02,0.357,0.7° ± 1.1°
1424-418,2012-Jan-15,55941.0,"2.933E-01,-8.041E-03,2.466E-01",Y,0%,9.0,3.237,0.02,0.463,1.1° ± 1.4°
1424-418,2011-Nov-27,55892.0,"4.264E-01,-2.619E-01,3.174E-01",Y,0.1%,5.5,2.55,0.02,0.208,0.9° ± 1°
