Source,Date,MJD,Fit Coeff.,Log Fit,Defect,Frequency [GHz],Flux Density [Jy],Flux Density Error [Jy],Spectral Index,Closure Phase
1424-418,2022-Mar-01,59639.0,"1.725E+00,-7.566E-01",Y,0.4%,38.0,3.386,0.115,-0.757,0.4° ± 0.6°
1424-418,2021-Oct-23,59510.0,"1.044E+00,-3.873E-01",Y,0.3%,38.0,2.705,0.042,-0.387,0° ± 0.2°
1424-418,2021-Oct-23,59510.0,"1.044E+00,-3.873E-01",Y,0.3%,40.0,2.652,0.042,-0.387,0° ± 0.3°
1424-418,2021-May-22,59356.0,"4.294E-01,-1.468E-01",Y,0.4%,35.0,1.595,0.015,-0.147,0.7° ± 0.8°
1424-418,2021-May-22,59356.0,"4.294E-01,-1.468E-01",Y,0.4%,33.0,1.609,0.015,-0.147,0.8° ± 0.9°
1424-418,2021-Jan-30,59244.0,"4.873E-01,-1.494E-01",Y,1%,40.0,1.77,0.056,-0.149,0.2° ± 0.5°
1424-418,2021-Jan-30,59244.0,"4.873E-01,-1.494E-01",Y,1%,38.0,1.784,0.056,-0.149,0.2° ± 0.4°
1424-418,2021-Jan-09,59223.0,"7.128E-01,-3.357E-01",Y,0.5%,35.0,1.565,0.027,-0.336,0.6° ± 1.7°
1424-418,2021-Jan-09,59223.0,"7.128E-01,-3.357E-01",Y,0.5%,33.0,1.596,0.027,-0.336,0.7° ± 1.5°
1424-418,2020-Sep-14,59106.0,"8.108E-01,-4.075E-01",Y,0.6%,38.0,1.469,0.022,-0.407,0.7° ± 0.9°
1424-418,2020-Sep-14,59106.0,"8.108E-01,-4.075E-01",Y,0.6%,40.0,1.439,0.022,-0.407,0.6° ± 0.8°
1424-418,2020-Sep-08,59100.0,"1.119E-02,1.059E-01",Y,0.7%,38.0,1.508,0.033,0.106,0.7° ± 0.8°
1424-418,2020-Sep-08,59100.0,"1.119E-02,1.059E-01",Y,0.7%,40.0,1.517,0.033,0.106,0.8° ± 0.9°
1424-418,2016-Apr-12,57490.0,"1.382E+00,-5.443E-01",Y,0.3%,38.0,3.328,0.07,-0.544,0° ± 0.1°
1424-418,2016-Apr-12,57490.0,"1.382E+00,-5.443E-01",Y,0.3%,40.0,3.236,0.07,-0.544,0° ± 0.2°
1424-418,2016-Mar-07,57454.0,"2.976E+00,-1.534E+00",Y,0.1%,38.0,3.57,0.035,-1.534,0.4° ± 0.5°
1424-418,2016-Mar-07,57454.0,"2.976E+00,-1.534E+00",Y,0.1%,40.0,3.299,0.035,-1.534,0.4° ± 0.5°
1424-418,2015-Oct-09,57304.0,"9.909E-01,-2.923E-01",Y,0.1%,33.0,3.524,0.018,-0.292,0.1° ± 0.1°
1424-418,2015-Oct-09,57304.0,"9.909E-01,-2.923E-01",Y,0.1%,35.0,3.464,0.018,-0.292,0.1° ± 0.2°
1424-418,2014-Jul-08,56846.0,"1.471E+00,-4.428E-01",Y,0%,33.0,6.289,0.021,-0.443,0° ± 0.4°
1424-418,2014-Jul-08,56846.0,"1.471E+00,-4.428E-01",Y,0%,35.0,6.128,0.021,-0.443,0.1° ± 0.5°
1424-418,2014-Apr-07,56754.0,"7.744E-01,7.603E-02",Y,0.1%,38.0,7.844,0.056,0.076,0° ± 0.1°
1424-418,2014-Apr-07,56754.0,"7.744E-01,7.603E-02",Y,0.1%,40.0,7.874,0.056,0.076,0° ± 0.1°
1424-418,2013-May-10,56422.0,"-5.545E+00,4.138E+00",Y,0%,38.0,9.821,0.245,4.138,0.1° ± 0.2°
1424-418,2013-May-10,56422.0,"-5.545E+00,4.138E+00",Y,0%,40.0,12.143,0.245,4.138,0° ± 0.3°
1424-418,2012-Aug-26,56165.0,"4.756E-01,1.691E-01",Y,0.1%,38.0,5.53,0.044,0.169,0.2° ± 0.4°
1424-418,2012-Aug-26,56165.0,"4.756E-01,1.691E-01",Y,0.1%,40.0,5.578,0.044,0.169,0.2° ± 0.4°
1424-418,2012-Jul-20,56128.0,"1.403E+00,-4.485E-01",Y,0.1%,38.0,4.948,0.02,-0.449,0° ± 0.1°
1424-418,2012-Jul-20,56128.0,"1.403E+00,-4.485E-01",Y,0.1%,40.0,4.836,0.02,-0.449,0° ± 0.2°
1424-418,2012-Jan-15,55941.0,"-2.900E-02,5.031E-01",Y,0.1%,38.0,5.832,0.037,0.503,0.4° ± 0.4°
1424-418,2012-Jan-15,55941.0,"-2.900E-02,5.031E-01",Y,0.1%,40.0,5.984,0.037,0.503,0.3° ± 0.4°
1424-418,2011-Sep-17,55821.0,"6.778E-01,-6.379E-02",Y,0.1%,35.0,3.796,0.017,-0.064,0° ± 0.1°
1424-418,2011-Sep-17,55821.0,"6.778E-01,-6.379E-02",Y,0.1%,33.0,3.81,0.017,-0.064,0° ± 0.1°
1424-418,2011-Apr-12,55663.0,"3.737E-01,7.620E-02",Y,0.1%,33.0,3.086,0.015,0.076,0.6° ± 0.8°
1424-418,2011-Apr-12,55663.0,"3.737E-01,7.620E-02",Y,0.1%,35.0,3.1,0.015,0.076,0.6° ± 0.8°
1424-418,2010-May-09,55325.0,"1.204E-01,1.775E-01",Y,0.3%,43.0,2.572,0.027,0.177,0.1° ± 0.2°
1424-418,2010-May-09,55325.0,"1.204E-01,1.775E-01",Y,0.3%,45.0,2.593,0.027,0.177,0.1° ± 0.3°
1424-418,2009-Jun-26,55008.0,"-7.920E-01,6.826E-01",Y,0.9%,38.0,1.934,0.023,0.683,0° ± 0.3°
1424-418,2009-Jun-26,55008.0,"-7.920E-01,6.826E-01",Y,0.9%,40.0,2.002,0.023,0.683,0° ± 0.3°
1424-418,2009-Apr-24,54945.0,"-6.596E-01,5.989E-01",Y,0.6%,38.0,1.934,0.019,0.599,0.2° ± 0.4°
1424-418,2009-Apr-24,54945.0,"-6.596E-01,5.989E-01",Y,0.6%,40.0,1.995,0.019,0.599,0.1° ± 0.5°
1424-418,2007-Nov-01,54405.0,"5.380E-01,-1.817E-01",Y,0.1%,38.0,1.782,0.004,-0.182,1.4° ± 2.1°
1424-418,2007-Nov-01,54405.0,"5.380E-01,-1.817E-01",Y,0.1%,40.0,1.766,0.004,-0.182,1.1° ± 2.1°
1424-418,2007-May-14,54234.0,"5.916E-01,-1.503E-01",Y,0%,42.944,2.219,0.004,-0.15,0.1° ± 1°
1424-418,2007-May-14,54234.0,"5.916E-01,-1.503E-01",Y,0%,44.992,2.204,0.004,-0.15,0.1° ± 1°
1424-418,2023-Jan-03,59947.0,"6.782E-01,1.410E-01",Y,0.1%,16.7,7.089,0.088,0.141,0.4° ± 0.5°
1424-418,2023-Jan-03,59947.0,"6.782E-01,1.410E-01",Y,0.1%,21.2,7.332,0.088,0.141,0.3° ± 0.4°
1424-418,2022-Nov-20,59903.0,"5.766E-01,2.150E-01",Y,0%,16.7,6.91,0.058,0.215,0.4° ± 0.6°
1424-418,2022-Nov-20,59903.0,"5.766E-01,2.150E-01",Y,0%,21.2,7.274,0.058,0.215,0.4° ± 0.6°
1424-418,2022-Oct-28,59880.0,"9.729E-01,-1.308E-01",Y,0%,16.7,6.501,0.031,-0.131,0° ± 0.1°
1424-418,2022-Oct-28,59880.0,"9.729E-01,-1.308E-01",Y,0%,21.2,6.301,0.031,-0.131,0° ± 0.1°
1424-418,2022-Oct-24,59876.0,"6.866E-01,8.223E-02",Y,0%,16.7,6.126,0.073,0.082,0° ± 0.1°
1424-418,2022-Oct-24,59876.0,"6.866E-01,8.223E-02",Y,0%,21.2,6.247,0.073,0.082,0.1° ± 0.1°
1424-418,2022-Oct-14,59866.0,"8.872E-01,-6.233E-02",Y,0%,16.7,6.471,0.033,-0.062,0° ± 0.1°
1424-418,2022-Oct-14,59866.0,"8.872E-01,-6.233E-02",Y,0%,21.2,6.376,0.033,-0.062,0° ± 0.1°
1424-418,2022-Oct-08,59860.0,"1.042E+00,-1.885E-01",Y,0%,16.7,6.479,0.047,-0.189,0.5° ± 0.6°
1424-418,2022-Oct-08,59860.0,"1.042E+00,-1.885E-01",Y,0%,21.2,6.194,0.047,-0.189,0.3° ± 0.5°
1424-418,2022-Aug-27,59818.0,"8.643E-01,-8.429E-02",Y,0%,16.7,5.771,0.035,-0.084,0.4° ± 0.7°
1424-418,2022-Aug-27,59818.0,"8.643E-01,-8.429E-02",Y,0%,21.2,5.656,0.035,-0.084,0.5° ± 0.7°
1424-418,2022-Jun-25,59755.0,"8.768E-01,-1.526E-01",Y,0%,16.7,4.9,0.019,-0.153,0° ± 0.1°
1424-418,2022-Jun-25,59755.0,"8.768E-01,-1.526E-01",Y,0%,21.2,4.725,0.019,-0.153,0.1° ± 0.1°
1424-418,2022-May-28,59727.0,"9.538E-01,-2.577E-01",Y,0%,16.7,4.352,0.024,-0.258,0.1° ± 0.1°
1424-418,2022-May-28,59727.0,"9.538E-01,-2.577E-01",Y,0%,21.2,4.093,0.024,-0.258,0.1° ± 0.1°
1424-418,2022-Apr-22,59691.0,"1.858E-01,3.318E-01",Y,0.1%,16.7,3.904,0.067,0.332,0.6° ± 0.7°
1424-418,2022-Apr-22,59691.0,"1.858E-01,3.318E-01",Y,0.1%,21.2,4.226,0.067,0.332,0.4° ± 0.5°
1424-418,2022-Mar-01,59639.0,"6.341E-01,-2.174E-02",Y,0.1%,16.7,4.051,0.042,-0.022,0.9° ± 1°
1424-418,2022-Mar-01,59639.0,"6.341E-01,-2.174E-02",Y,0.1%,21.2,4.03,0.042,-0.022,0.7° ± 0.9°
1424-418,2022-Jan-15,59594.0,"5.798E-01,1.383E-02",Y,0.1%,16.7,3.951,0.024,0.014,0.5° ± 0.6°
1424-418,2022-Jan-15,59594.0,"5.798E-01,1.383E-02",Y,0.1%,21.2,3.964,0.024,0.014,0.4° ± 0.5°
1424-418,2022-Jan-03,59582.0,"1.032E+00,-4.176E-01",Y,0.3%,17.0,3.297,0.055,-0.418,-0.1° ± 3.2°
1424-418,2022-Jan-03,59582.0,"1.032E+00,-4.176E-01",Y,0.3%,19.0,3.148,0.055,-0.418,0° ± 5°
1424-418,2021-Oct-31,59518.0,"6.865E-01,-1.713E-01",Y,0.3%,21.2,2.879,0.047,-0.171,0° ± 0.3°
1424-418,2021-Oct-31,59518.0,"6.865E-01,-1.713E-01",Y,0.3%,16.8,2.996,0.047,-0.171,0.1° ± 0.2°
1424-418,2021-Oct-23,59510.0,"2.958E-01,1.173E-01",Y,0.1%,16.7,2.749,0.013,0.117,0.1° ± 0.2°
1424-418,2021-Oct-23,59510.0,"2.958E-01,1.173E-01",Y,0.1%,21.2,2.827,0.013,0.117,0° ± 0.2°
1424-418,2021-Jan-30,59244.0,"5.504E-01,-2.117E-01",Y,0.4%,16.7,1.957,0.027,-0.212,0.1° ± 0.4°
1424-418,2021-Jan-30,59244.0,"5.504E-01,-2.117E-01",Y,0.4%,21.2,1.86,0.027,-0.212,0.2° ± 0.4°
1424-418,2021-Jan-24,59238.0,"8.571E-01,-4.723E-01",Y,1%,16.8,1.898,0.037,-0.472,0° ± 0.3°
1424-418,2021-Jan-24,59238.0,"8.571E-01,-4.723E-01",Y,1%,21.2,1.701,0.037,-0.472,0° ± 0.5°
1424-418,2020-Sep-14,59106.0,"5.137E-01,-2.221E-01",Y,0.2%,16.7,1.746,0.012,-0.222,0.4° ± 0.6°
1424-418,2020-Sep-14,59106.0,"5.137E-01,-2.221E-01",Y,0.2%,21.2,1.656,0.012,-0.222,0.5° ± 0.8°
1424-418,2020-Sep-08,59100.0,"2.875E-02,1.846E-01",Y,0.4%,16.7,1.797,0.032,0.185,0.6° ± 0.8°
1424-418,2020-Sep-08,59100.0,"2.875E-02,1.846E-01",Y,0.4%,21.2,1.878,0.032,0.185,0.6° ± 0.8°
1424-418,2020-May-15,58984.0,"6.908E-01,-3.059E-01",Y,0.3%,16.8,2.07,0.018,-0.306,0.1° ± 0.3°
1424-418,2020-May-15,58984.0,"6.908E-01,-3.059E-01",Y,0.3%,21.2,1.928,0.018,-0.306,0.1° ± 0.4°
1424-418,2019-Sep-10,58736.0,"6.764E-01,-1.453E-01",Y,0%,17.0,3.145,0.021,-0.145,0.8° ± 1.2°
1424-418,2019-Sep-10,58736.0,"6.764E-01,-1.453E-01",Y,0%,19.0,3.095,0.021,-0.145,0.7° ± 1.2°
1424-418,2018-Oct-18,58409.0,"9.860E-01,-1.985E-01",Y,0%,17.0,5.518,0.036,-0.199,0.7° ± 0.8°
1424-418,2018-Oct-18,58409.0,"9.860E-01,-1.985E-01",Y,0%,19.0,5.397,0.036,-0.199,0.6° ± 0.7°
1424-418,2018-Mar-06,58183.0,"1.252E+00,-4.006E-01",Y,0.1%,17.0,5.742,0.038,-0.401,0° ± 0.1°
1424-418,2018-Mar-06,58183.0,"1.252E+00,-4.006E-01",Y,0.1%,19.0,5.492,0.038,-0.401,0° ± 0.1°
1424-418,2017-May-07,57880.0,"7.993E-01,-8.344E-02",Y,0%,17.0,4.973,0.013,-0.083,0.7° ± 0.8°
1424-418,2017-May-07,57880.0,"7.993E-01,-8.344E-02",Y,0%,19.0,4.927,0.013,-0.083,0.7° ± 0.7°
1424-418,2016-Oct-15,57676.0,"7.969E-01,-1.740E-01",Y,0%,17.0,3.827,0.015,-0.174,0° ± 0.1°
1424-418,2016-Oct-15,57676.0,"7.969E-01,-1.740E-01",Y,0%,19.0,3.753,0.015,-0.174,0° ± 0.1°
1424-418,2016-Aug-17,57617.0,"7.811E-01,-1.584E-01",Y,0%,17.0,3.857,0.014,-0.158,0.6° ± 1°
1424-418,2016-Aug-17,57617.0,"7.811E-01,-1.584E-01",Y,0%,19.0,3.789,0.014,-0.158,0.7° ± 1°
1424-418,2016-May-02,57510.0,"7.427E-01,-7.962E-02",Y,0%,17.0,4.413,0.023,-0.08,0.7° ± 1.1°
1424-418,2016-May-02,57510.0,"7.427E-01,-7.962E-02",Y,0%,19.0,4.374,0.023,-0.08,0.7° ± 1.1°
1424-418,2015-Oct-03,57298.0,"7.878E-01,-1.439E-01",Y,0%,17.0,4.081,0.016,-0.144,0° ± 0.1°
1424-418,2015-Oct-03,57298.0,"7.878E-01,-1.439E-01",Y,0%,19.0,4.016,0.016,-0.144,0° ± 0.1°
1424-418,2014-Aug-20,56889.0,"1.072E+00,-1.784E-01",Y,0%,17.0,7.12,0.026,-0.178,0.4° ± 0.6°
1424-418,2014-Aug-20,56889.0,"1.072E+00,-1.784E-01",Y,0%,19.0,6.98,0.026,-0.178,0.4° ± 0.6°
1424-418,2014-Apr-22,56769.0,"8.945E-01,2.249E-02",Y,0%,17.0,8.359,0.074,0.022,0.4° ± 0.5°
1424-418,2014-Apr-22,56769.0,"8.945E-01,2.249E-02",Y,0%,19.0,8.38,0.074,0.022,0.4° ± 0.5°
1424-418,2014-Apr-07,56754.0,"1.149E+00,-1.815E-01",Y,0%,17.0,8.427,0.039,-0.181,0° ± 0°
1424-418,2014-Apr-07,56754.0,"1.149E+00,-1.815E-01",Y,0%,19.0,8.259,0.039,-0.181,0° ± 0.1°
1424-418,2014-Jan-18,56675.0,"1.020E+00,-1.210E-01",Y,0%,17.0,7.432,0.026,-0.121,0.3° ± 0.4°
1424-418,2014-Jan-18,56675.0,"1.020E+00,-1.210E-01",Y,0%,19.0,7.333,0.026,-0.121,0.3° ± 0.4°
1424-418,2013-Oct-03,56568.0,"1.022E+00,-1.104E-01",Y,0%,17.0,7.694,0.028,-0.11,0° ± 0.1°
1424-418,2013-Oct-03,56568.0,"1.022E+00,-1.104E-01",Y,0%,19.0,7.6,0.028,-0.11,0° ± 0.1°
1424-418,2013-May-10,56422.0,"1.029E+00,-5.280E-02",Y,0%,17.0,9.205,0.048,-0.053,0.3° ± 0.4°
1424-418,2013-May-10,56422.0,"1.029E+00,-5.280E-02",Y,0%,19.0,9.151,0.048,-0.053,0.3° ± 0.4°
1424-418,2013-Apr-16,56398.0,"1.159E+00,-1.489E-01",Y,0%,17.0,9.458,0.059,-0.149,0.3° ± 0.6°
1424-418,2013-Apr-16,56398.0,"1.159E+00,-1.489E-01",Y,0%,19.0,9.302,0.059,-0.149,0.3° ± 0.6°
1424-418,2013-Jan-08,56300.0,"9.113E-01,1.010E-02",Y,0%,17.0,8.389,0.167,0.01,0.1° ± 0.1°
1424-418,2013-Jan-08,56300.0,"9.113E-01,1.010E-02",Y,0%,21.0,8.407,0.167,0.01,0° ± 0.1°
1424-418,2012-Nov-03,56234.0,"8.901E-01,-4.678E-02",Y,0.5%,17.0,6.8,0.043,-0.047,0° ± 0.1°
1424-418,2012-Nov-03,56234.0,"8.901E-01,-4.678E-02",Y,0.5%,19.0,6.765,0.043,-0.047,0.1° ± 0.1°
1424-418,2012-Nov-01,56232.0,"6.520E-01,1.289E-01",Y,0%,17.0,6.466,0.038,0.129,0.1° ± 0.1°
1424-418,2012-Nov-01,56232.0,"6.520E-01,1.289E-01",Y,0%,19.0,6.559,0.038,0.129,0.2° ± 0.3°
1424-418,2012-Aug-26,56165.0,"6.708E-01,5.448E-02",Y,0%,17.0,5.468,0.02,0.054,0.6° ± 0.9°
1424-418,2012-Aug-26,56165.0,"6.708E-01,5.448E-02",Y,0%,19.0,5.501,0.02,0.054,0.5° ± 0.7°
1424-418,2012-Jul-20,56128.0,"7.804E-01,-5.031E-02",Y,0%,17.0,5.23,0.019,-0.05,0° ± 0.1°
1424-418,2012-Jul-20,56128.0,"7.804E-01,-5.031E-02",Y,0%,19.0,5.201,0.019,-0.05,0° ± 0.1°
1424-418,2012-Jun-15,56093.0,"4.245E-01,1.984E-01",Y,0%,17.0,4.663,0.034,0.198,0.9° ± 1.1°
1424-418,2012-Jun-15,56093.0,"4.245E-01,1.984E-01",Y,0%,19.0,4.767,0.034,0.198,0.5° ± 0.8°
1424-418,2012-Feb-13,55970.0,"3.862E-01,2.341E-01",Y,0%,17.0,4.723,0.032,0.234,0.1° ± 0.1°
1424-418,2012-Feb-13,55970.0,"3.862E-01,2.341E-01",Y,0%,19.0,4.848,0.032,0.234,0.3° ± 0.4°
1424-418,2012-Jan-15,55941.0,"1.473E-01,3.643E-01",Y,0%,19.0,4.103,0.027,0.364,0.8° ± 0.8°
1424-418,2012-Jan-15,55941.0,"1.473E-01,3.643E-01",Y,0%,17.0,3.941,0.027,0.364,0.7° ± 0.7°
1424-418,2011-Oct-14,55848.0,"3.954E-01,1.279E-01",Y,0%,17.0,3.571,0.014,0.128,0° ± 0.1°
1424-418,2011-Oct-14,55848.0,"3.954E-01,1.279E-01",Y,0%,19.0,3.622,0.014,0.128,0° ± 0.1°
1424-418,2011-May-17,55698.0,"3.985E-01,-2.721E-03",Y,0%,17.0,2.484,0.01,-0.003,0.5° ± 0.6°
1424-418,2011-May-17,55698.0,"3.985E-01,-2.721E-03",Y,0%,19.0,2.483,0.01,-0.003,0.6° ± 0.7°
1424-418,2009-Jun-26,55008.0,"-8.767E-02,2.204E-01",Y,0.2%,17.0,1.526,0.021,0.22,0° ± 0.3°
1424-418,2009-Jun-26,55008.0,"-8.767E-02,2.204E-01",Y,0.2%,19.0,1.564,0.021,0.22,0° ± 0.2°
1424-418,2009-Jun-25,55007.0,"3.800E-01,-1.623E-01",Y,0.2%,17.0,1.515,0.013,-0.162,0° ± 0.2°
1424-418,2009-Jun-25,55007.0,"3.800E-01,-1.623E-01",Y,0.2%,19.0,1.488,0.013,-0.162,0° ± 0.2°
1424-418,2009-May-18,54969.0,"5.856E-01,-3.523E-01",Y,1.6%,17.0,1.419,0.023,-0.352,0.2° ± 0.5°
1424-418,2009-May-18,54969.0,"5.856E-01,-3.523E-01",Y,1.6%,19.0,1.365,0.023,-0.352,0.2° ± 0.6°
1424-418,2009-Apr-24,54945.0,"3.616E-01,-1.328E-01",Y,0.1%,17.0,1.578,0.012,-0.133,0.1° ± 0.2°
1424-418,2009-Apr-24,54945.0,"3.616E-01,-1.328E-01",Y,0.1%,19.0,1.555,0.012,-0.133,0.1° ± 0.3°
1424-418,2008-Dec-16,54816.0,"6.408E-01,-3.382E-01",Y,0%,17.0,1.677,0.003,-0.338,0.8° ± 1.3°
1424-418,2008-Dec-16,54816.0,"6.408E-01,-3.382E-01",Y,0%,19.0,1.616,0.003,-0.338,0.7° ± 1.2°
1424-418,2008-Mar-14,54539.0,"6.608E-01,-2.819E-01",Y,0%,17.0,2.06,0.007,-0.282,0.8° ± 1.3°
1424-418,2008-Mar-14,54539.0,"6.608E-01,-2.819E-01",Y,0%,19.0,1.997,0.007,-0.282,0.7° ± 1.2°
1424-418,2008-Jan-11,54476.0,"1.990E+00,-1.364E+00",Y,0.1%,17.0,2.05,0.007,-1.364,1.7° ± 2.3°
1424-418,2008-Jan-11,54476.0,"1.990E+00,-1.364E+00",Y,0.1%,19.0,1.761,0.007,-1.364,1.6° ± 2.3°
1424-418,2007-Nov-01,54405.0,"4.542E-01,-1.056E-01",Y,0%,17.0,2.11,0.007,-0.106,0.8° ± 1.3°
1424-418,2007-Nov-01,54405.0,"4.542E-01,-1.056E-01",Y,0%,19.0,2.085,0.007,-0.106,0.6° ± 1.1°
1424-418,2007-Aug-08,54320.0,"6.479E-01,-2.252E-01",Y,0%,18.496,2.304,0.005,-0.225,0.5° ± 0.8°
1424-418,2007-Aug-08,54320.0,"6.479E-01,-2.252E-01",Y,0%,19.52,2.277,0.005,-0.225,0.5° ± 0.7°
1424-418,2005-Jul-18,53569.0,"9.136E-01,-3.228E-01",Y,0%,18.496,3.196,0.007,-0.323,0° ± 0.3°
1424-418,2005-Jul-18,53569.0,"9.136E-01,-3.228E-01",Y,0%,19.52,3.141,0.007,-0.323,0° ± 0.3°
1424-418,2005-Jun-15,53536.0,"8.096E-01,-2.477E-01",Y,0%,18.496,3.131,0.009,-0.248,0.7° ± 1.3°
1424-418,2005-Jun-15,53536.0,"8.096E-01,-2.477E-01",Y,0%,19.52,3.09,0.009,-0.248,0.8° ± 1.3°
1424-418,2005-May-04,53494.0,"9.779E-01,-3.701E-01",Y,0%,18.496,3.228,0.007,-0.37,0.1° ± 0.3°
1424-418,2005-May-04,53494.0,"9.779E-01,-3.701E-01",Y,0%,19.52,3.164,0.007,-0.37,0° ± 0.4°
1424-418,2005-Mar-25,53454.0,"7.017E-01,-1.799E-01",Y,0%,18.496,2.977,0.003,-0.18,1° ± 1.3°
1424-418,2005-Mar-25,53454.0,"7.017E-01,-1.799E-01",Y,0%,19.008,2.962,0.003,-0.18,1° ± 1.4°
1424-418,2023-Jan-17,59961.0,"3.770E-01,7.967E-01,-3.491E-01",Y,0%,5.5,5.963,0.012,0.28,0.4° ± 0.6°
1424-418,2023-Jan-17,59961.0,"3.770E-01,7.967E-01,-3.491E-01",Y,0%,9.0,6.597,0.012,0.13,0.5° ± 0.8°
1424-418,2023-Jan-03,59947.0,"3.998E-01,7.138E-01,-2.733E-01",Y,0%,5.5,6.004,0.022,0.309,0.8° ± 1.2°
1424-418,2023-Jan-03,59947.0,"3.998E-01,7.138E-01,-2.733E-01",Y,0%,9.0,6.793,0.022,0.192,1° ± 1.4°
1424-418,2022-Dec-09,59922.0,"1.835E-01,1.156E+00,-5.184E-01",Y,0%,5.5,5.691,0.019,0.388,0.7° ± 1.1°
1424-418,2022-Dec-09,59922.0,"1.835E-01,1.156E+00,-5.184E-01",Y,0%,9.0,6.525,0.019,0.167,0.9° ± 1.2°
1424-418,2022-Nov-20,59903.0,"-3.613E-02,1.694E+00,-8.365E-01",Y,0%,5.5,5.748,0.036,0.455,1.1° ± 1.6°
1424-418,2022-Nov-20,59903.0,"-3.613E-02,1.694E+00,-8.365E-01",Y,0%,9.0,6.587,0.036,0.098,1.1° ± 1.5°
1424-418,2022-Oct-25,59877.0,"1.141E-02,1.486E+00,-6.969E-01",Y,0%,5.5,5.365,0.023,0.454,0° ± 0.1°
1424-418,2022-Oct-25,59877.0,"1.141E-02,1.486E+00,-6.969E-01",Y,0%,9.0,6.235,0.023,0.156,0° ± 0.1°
1424-418,2022-Oct-24,59876.0,"-1.238E-01,1.833E+00,-8.968E-01",Y,0%,5.5,5.517,0.022,0.505,0° ± 0.3°
1424-418,2022-Oct-24,59876.0,"-1.238E-01,1.833E+00,-8.968E-01",Y,0%,9.0,6.438,0.022,0.121,0.1° ± 0.2°
1424-418,2022-Oct-14,59866.0,"-3.057E-01,2.035E+00,-9.183E-01",Y,0%,5.5,4.984,0.018,0.675,-0.1° ± 0.3°
1424-418,2022-Oct-14,59866.0,"-3.057E-01,2.035E+00,-9.183E-01",Y,0%,9.0,6.31,0.018,0.282,0.1° ± 0.2°
1424-418,2022-Oct-08,59860.0,"-2.122E-01,1.880E+00,-8.626E-01",Y,0%,9.0,6.256,0.021,0.234,1° ± 1.4°
1424-418,2022-Oct-08,59860.0,"-2.122E-01,1.880E+00,-8.626E-01",Y,0%,5.5,5.092,0.021,0.603,1° ± 1.4°
1424-418,2022-Aug-27,59818.0,"1.168E-01,1.135E+00,-4.785E-01",Y,0%,5.5,4.953,0.015,0.426,0.9° ± 1.2°
1424-418,2022-Aug-27,59818.0,"1.168E-01,1.135E+00,-4.785E-01",Y,0%,9.0,5.81,0.015,0.222,1° ± 1.4°
1424-418,2022-Jul-17,59777.0,"-2.409E-01,1.725E+00,-7.883E-01",Y,0%,5.5,4.019,0.013,0.558,0° ± 0.4°
1424-418,2022-Jul-17,59777.0,"-2.409E-01,1.725E+00,-7.883E-01",Y,0%,9.0,4.868,0.013,0.221,0.1° ± 0.3°
1424-418,2022-Jun-25,59755.0,"-6.427E-03,1.186E+00,-4.870E-01",Y,0%,5.5,4.024,0.009,0.465,0.2° ± 0.4°
1424-418,2022-Jun-25,59755.0,"-6.427E-03,1.186E+00,-4.870E-01",Y,0%,9.0,4.807,0.009,0.257,0.1° ± 0.1°
1424-418,2022-May-28,59727.0,"-8.077E-02,9.249E-01,-4.787E-02",Y,0%,5.5,3.782,0.208,0.854,-0.2° ± 0.4°
1424-418,2022-May-28,59727.0,"-8.077E-02,9.249E-01,-4.787E-02",Y,0%,9.0,5.731,0.208,0.834,0.1° ± 0.3°
1424-418,2022-May-13,59712.0,"-2.864E-02,1.175E+00,-5.448E-01",Y,0%,5.5,3.489,0.019,0.368,0.3° ± 0.6°
1424-418,2022-May-13,59712.0,"-2.864E-02,1.175E+00,-5.448E-01",Y,0%,9.0,3.949,0.019,0.135,0.4° ± 0.7°
1424-418,2022-Apr-22,59691.0,"-8.099E-02,1.161E+00,-4.888E-01",Y,0%,5.5,3.241,0.013,0.437,0.7° ± 1.2°
1424-418,2022-Apr-22,59691.0,"-8.099E-02,1.161E+00,-4.888E-01",Y,0%,9.0,3.818,0.013,0.228,1.1° ± 1.6°
1424-418,2022-Mar-01,59639.0,"1.227E-01,6.412E-01,-2.637E-01",Y,0%,5.5,2.837,0.042,0.251,1.9° ± 2.5°
1424-418,2022-Mar-01,59639.0,"1.227E-01,6.412E-01,-2.637E-01",Y,0%,9.0,3.122,0.042,0.138,2.1° ± 2.6°
1424-418,2022-Feb-08,59618.0,"1.109E-01,5.145E-01,-5.391E-02",Y,0%,8.5,3.488,0.015,0.414,0.2° ± 0.3°
1424-418,2022-Feb-08,59618.0,"1.109E-01,5.145E-01,-5.391E-02",Y,0%,5.5,2.899,0.015,0.435,0.5° ± 0.6°
1424-418,2022-Jan-15,59594.0,"2.032E-01,3.226E-01,5.442E-02",Y,0%,5.5,2.964,0.013,0.403,0.6° ± 0.9°
1424-418,2022-Jan-15,59594.0,"2.032E-01,3.226E-01,5.442E-02",Y,0%,9.0,3.636,0.013,0.426,0.8° ± 1.2°
1424-418,2021-Nov-18,59536.0,"2.668E-01,1.804E-02,1.855E-01",Y,0%,5.5,2.409,0.014,0.293,0.5° ± 0.8°
1424-418,2021-Nov-18,59536.0,"2.668E-01,1.804E-02,1.855E-01",Y,0%,8.5,2.778,0.014,0.363,0.6° ± 0.9°
